"Country or Area","Year","Area","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Egypt","1985","Urban","Data tabulated by year of registration","Final figure, complete","1991","38887",""
"Egypt","1985","Rural","Data tabulated by year of registration","Final figure, complete","1991","33676",""
"Egypt","1984","Total","Data tabulated by year of registration","Final figure, complete","1991","76222",""
"Egypt","1984","Urban","Data tabulated by year of registration","Final figure, complete","1991","37633",""
"Egypt","1984","Rural","Data tabulated by year of registration","Final figure, complete","1991","38589",""
"Egypt","1983","Total","Data tabulated by year of registration","Final figure, complete","1991","71169",""
"Egypt","1983","Urban","Data tabulated by year of registration","Final figure, complete","1991","35306",""
"Egypt","1983","Rural","Data tabulated by year of registration","Final figure, complete","1991","35863",""
"Egypt","1982","Total","Data tabulated by year of registration","Final figure, complete","1991","70215",""
"Egypt","1982","Urban","Data tabulated by year of registration","Final figure, complete","1991","35674",""
"Egypt","1982","Rural","Data tabulated by year of registration","Final figure, complete","1991","34541",""
"Egypt","1981","Total","Data tabulated by year of registration","Final figure, complete","1985","68501",""
"Egypt","1981","Urban","Data tabulated by year of registration","Final figure, complete","1985","34173",""
"Egypt","1981","Rural","Data tabulated by year of registration","Final figure, complete","1985","34328",""
"Egypt","1980","Total","Data tabulated by year of registration","Final figure, complete","1985","68512",""
"Egypt","1980","Urban","Data tabulated by year of registration","Final figure, complete","1985","35514",""
"Egypt","1980","Rural","Data tabulated by year of registration","Final figure, complete","1985","32998",""
"Egypt","1979","Total","Data tabulated by year of registration","Final figure, complete","1985","73871",""
"Egypt","1979","Urban","Data tabulated by year of registration","Final figure, complete","1985","39940",""
"Egypt","1979","Rural","Data tabulated by year of registration","Final figure, complete","1985","33931",""
"Egypt","1978","Total","Data tabulated by year of registration","Final figure, complete","1985","78023",""
"Egypt","1978","Urban","Data tabulated by year of registration","Final figure, complete","1985","41641",""
"Egypt","1978","Rural","Data tabulated by year of registration","Final figure, complete","1985","36382",""
"Egypt","1977","Total","Data tabulated by year of registration","Final figure, complete","1985","76311",""
"Egypt","1977","Urban","Data tabulated by year of registration","Final figure, complete","1985","40519",""
"Egypt","1977","Rural","Data tabulated by year of registration","Final figure, complete","1985","35792",""
"Egypt","1976","Total","Data tabulated by year of registration","Final figure, complete","1984","78098",""
"Egypt","1976","Urban","Data tabulated by year of registration","Final figure, complete","1984","42716",""
"Egypt","1976","Rural","Data tabulated by year of registration","Final figure, complete","1984","35382",""
"Egypt","1975","Total","Data tabulated by year of registration","Final figure, complete","1984","77457",""
"Egypt","1975","Urban","Data tabulated by year of registration","Final figure, complete","1984","41952",""
"Egypt","1975","Rural","Data tabulated by year of registration","Final figure, complete","1984","35505",""
"Egypt","1974","Total","Data tabulated by year of registration","Final figure, complete","1977","73425",""
"Egypt","1974","Urban","Data tabulated by year of registration","Final figure, complete","1977","39691",""
"Egypt","1974","Rural","Data tabulated by year of registration","Final figure, complete","1977","33734",""
"Egypt","1973","Total","Data tabulated by year of registration","Final figure, complete","1977","75487",""
"Egypt","1973","Urban","Data tabulated by year of registration","Final figure, complete","1977","41047",""
"Egypt","1973","Rural","Data tabulated by year of registration","Final figure, complete","1977","34440",""
"Egypt","1972","Total","Data tabulated by year of registration","Final figure, complete","1977","75412",""
"Egypt","1972","Urban","Data tabulated by year of registration","Final figure, complete","1977","40772",""
"Egypt","1972","Rural","Data tabulated by year of registration","Final figure, complete","1977","34640",""
"Egypt","1971","Total","Data tabulated by year of registration","Final figure, complete","1977","70736",""
"Egypt","1971","Urban","Data tabulated by year of registration","Final figure, complete","1977","38617",""
"Egypt","1971","Rural","Data tabulated by year of registration","Final figure, complete","1977","32119",""
"Egypt","1970","Total","Data tabulated by year of registration","Final figure, complete","1976","68810",""
"Egypt","1969","Total","Data tabulated by year of registration","Final figure, complete","1971","62909",""
"Egypt","1968","Total","Data tabulated by year of registration","Final figure, complete","1976","59907",""
"Egypt","1967","Total","Data tabulated by year of registration","Final figure, complete","1976","57053",""
"Egypt","1966","Total","Data tabulated by year of registration","Final figure, complete","1969","63257",""
"Egypt","1965","Total","Data tabulated by year of registration","Final figure, complete","1969","63918",""
"Egypt","1964","Total","Data tabulated by year of registration","Final figure, complete","1969","61881",""
"Egypt","1963","Total","Data tabulated by year of registration","Final figure, complete","1968","59083",""
"Egypt","1962","Total","Data tabulated by year of registration","Final figure, complete","1966","55274",""
"Egypt","1961","Total","Data tabulated by year of registration","Final figure, complete","1964","61641",""
"Egypt","1960","Total","Data tabulated by year of registration","Final figure, complete","1964","64838",""
"Egypt","1959","Total","Data tabulated by year of registration","Final figure, complete","1963","60775",""
"Egypt","1958","Total","Data tabulated by year of registration","Final figure, complete","1963","60044",""
"Egypt","1957","Total","Data tabulated by year of registration","Final figure, complete","1963","59948",""
"Egypt","1956","Total","Data tabulated by year of registration","Final figure, complete","1963","57187",""
"Egypt","1955","Total","Data tabulated by year of registration","Final figure, complete","1963","60331",""
"Egypt","1954","Total","Data tabulated by year of registration","Final figure, complete","1963","59580",""
"Egypt","1953","Total","Data tabulated by year of registration","Final figure, complete","1960","62296",""
"Egypt","1952","Total","Data tabulated by year of registration","Final figure, complete","1960","69538",""
"Egypt","1951","Total","Data tabulated by year of registration","Final figure, complete","1960","75277",""
"Egypt","1950","Total","Data tabulated by year of registration","Final figure, complete","1960","74881",""
"Egypt","1949","Total","Data tabulated by year of registration","Final figure, complete","1960","73827",""
"Egypt","1948","Total","Data tabulated by year of registration","Final figure, complete","1960","76154",""

"footnoteSeqID","Footnote"
"1","Including 'revocable divorces' (among Muslim population), which approximate legal separations."
